Prise de sang par cathéter veineux central / port-a-cath;Mesures - Diagnostics;10810;B;10;"installer le client
 consulter la fiche du laboratoire
 préparer le matériel de ponction et d’étiquetage
 mettre des gants
 prélever la quantité de sang nécessaire
 relier de nouveau la perfusion au cathéter ou rincer le cathéter selon instructions
 contrôler le débit de la perfusion
 s’assurer de la transmission correcte de l’échantillon de sang";let. b ch. 3;1
Prise de tension artérielle;Mesures - Diagnostics;10802;B;5;"préparation du client
 mesurer la tension artérielle et documenter le résultat de la mesure";let. b ch. 1;1
Récolte de sécrétions pour analyse;Mesures - Diagnostics;10811;B;15;"préparer le matériel et l’étiquetage
 mettre des gants
 récolter la quantité de sécrétions nécessaires
 ranger / éliminer le matériel utilisé
 s’assurer de la transmission correcte de l’échantillon de sécrétion";let. b ch. 3;1
Aide à la marche;Mobilisation;10505;C;8;"aider le client à se mettre debout
 mettre à disposition les aides à la marche (déambulateur, béquilles, etc.) (à l’exclusion des prothèses)
 contrôler la position du client
 déplacer avec précaution les instruments techniques médicaux (perfusion, pompe, Redon, poche d’urine, etc.)
 aide à la marche dans le logement (ou pour utiliser des escaliers si nécessaire)
 aide pour se rasseoir au fauteuil ou se recoucher au lit
 s’assurer que, dans la nouvelle position du client, les instruments techniques (perfusion, sonde, etc.) fonctionnent correctement";let. c ch. 1;1
Lever / coucher avec aide;Mobilisation;10503;C;5;"aide à la mobilisation passive au lit, gymnastique de lit passive (au besoin)
 mettre à disposition les aides à la marche (déambulateur, béquilles, etc.) (à l’exclusion des prothèses)
 aide pour le transfert au fauteuil, fauteuil roulant
 installer sur fauteuil / fauteuil roulant et contrôler la position
 déplacer avec précaution les instruments techniques médicaux (perfusion, pompe, Redon, poche d’urine, etc.)
 s’assurer que, dans la nouvelle position du client, les instruments techniques (perfusion, sonde, etc.) fonctionnent correctement";let. c ch. 1;1
Installer le client dans le lit;Mobilisation;10501;C;8;"enlever du lit les aides techniques au confort
 déplacer avec précaution les instruments techniques médicaux (perfusion, pompe, Redon, poche d’urine, etc.)
 installer le client
 remettre les aides techniques au confort
 s’assurer que, dans la nouvelle position du client, les instruments techniques (perfusion, sonde, etc.) fonctionnent correctement";let. c ch. 1;1
Installer le client dans le lit, y compris faire le lit et changer la literie (au besoin);Mobilisation;10502;C;15;"enlever du lit les aides techniques au confort
 déplacer avec précaution les instruments techniques médicaux (perfusion, pompe, Redon, poche d’urine, etc.)
 changer la literie (au besoin), refaire le lit
 installer le client
 remettre les aides techniques au confort
 s’assurer que, dans la nouvelle position du client, les instruments techniques (perfusion, sonde, etc.) fonctionnent correctement";let. c ch. 1;1
Lever / coucher avec élévateur ou 2 personnes;Mobilisation;10504;C;10;"éventuellement, aide à la mobilisation passive au lit, gymnastique de lit passive
 mettre à disposition les aides à la marche (déambulateur, béquilles, etc.) (à l’exclusion des prothèses)
 
 aide pour le transfert avec élévateur ou 2 personnes au fauteuil, fauteuil roulant
 installer sur fauteuil / fauteuil roulant et contrôler la position
 déplacer avec précaution les instruments techniques médicaux (perfusion, pompe, Redon, poche d’urine, etc.)
 s’assurer que, dans la nouvelle position du client, les instruments techniques (perfusion, sonde, etc.) fonctionnent correctement";let. c ch. 1;1
Mettre / enlever les aides techniques;Mobilisation;10508;C;10;"Description de « mettre »
 dévêtir la partie du corps concernée
 ajuster l’aide technique (prothèse, orthèse, échelle, etc.)
 contrôler la position correcte et le bon fonctionnement de l’aide technique
 Description de « enlever »
 dévêtir la partie du corps concernée
 enlever l’aide technique (prothèse, orthèse, échelle, etc.)
 contrôler la position correcte et le bon fonctionnement de l’aide technique";let. c ch. 1;1
Mobilisation active / passive;Mobilisation;10506;C;17;"exécuter les exercices de mobilisation active / passive des membres et/ou des
 muscles, au moyen des aides techniques appropriées";let. c ch. 1;1
Grand pansement;Pansement;10703;B;40;"mettre des gants
 préparer le matériel stérile et non stérile
 préparer le champ stérile (au besoin)
 enlever le pansement usé
 nettoyer et désinfecter la plaie et la peau environnante
 soigner la plaie selon prescription médicale
 appliquer et fixer le nouveau pansement";let. b ch. 10;1
Moyen pansement;Pansement;10702;B;24;"mettre des gants
 préparer le matériel stérile et non stérile
 préparer le champ stérile (au besoin)
 enlever le pansement usé
 nettoyer et désinfecter la plaie et la peau environnante
 soigner la plaie selon prescription médicale
 appliquer et fixer le nouveau pansement";let. b ch. 10;1
Petit pansement;Pansement;10701;B;15;"mettre des gants
 préparer le matériel stérile et non stérile
 préparer le champ stérile ou non stérile
 enlever le pansement usé
 nettoyer et désinfecter la plaie et la peau environnante
 soigner la plaie selon prescription médicale
 appliquer et fixer le nouveau pansement
 Inclus pose de bande de compression à 3 couches";let. b ch. 10;1
Aspiration des sécrétions;Respiration;10205;B;15;"installer l’aspirateur
 vérifier son fonctionnement
 mettre le client en position adéquate
 mettre des gants
 aspirer les sécrétions
 vider l’aspirateur, le nettoyer et le préparer
 jeter les sécrétions
 veiller au contrôle et à l’entretien réguliers de l’appareil";let. b ch. 4;1
Exercices respiratoires / aide pour expectorer;Respiration;10201;B;14;"montrer au client comment faire les exercices respiratoires
 aider le client à tousser et expectorer ses sécrétions
 mettre des gants et extraire les sécrétions (au besoin)
 montrer le fonctionnement et l’entretien de l’appareil
 contrôler la fréquence respiratoire et le mouvement de la cage thoracique";let. b ch. 4;1
Inhalation / aérosol (préparation);Respiration;10202;B;5;"remplir l’appareil avec le médicament
 tester le fonctionnement de l’appareil
 montrer le fonctionnement et l’entretien de l’appareil
 veiller au contrôle et à l’entretien réguliers de l’appareil";let. b ch. 4;1
Inhalation / aérosol (présence constante);Respiration;10203;B;15;"remplir l’appareil avec le médicament
 tester le fonctionnement de l’appareil
 montrer comment utiliser l’appareil et surveiller que l’inhalation se fait correctement
 veiller au contrôle et à l’entretien réguliers de l’appareil";let. b ch. 4;1
Oxygénothérapie;Respiration;10204;B;9;"installer la bonbonne d’oxygène
 brancher l’aquapack (barboteur)
 contrôler le débit d’oxygène
 s’assurer qu’il n’y a pas de fuites
 brancher la sonde ou le masque
 s’assurer que les voies respiratoires sont libres
 poser la sonde / le masque
 enclencher le débit (litres/minute)
 vérifier l’arrivée d’oxygène";let. b ch. 4;1
Soins de trachéotomie;Respiration;10206;B;9;"mettre gants et masque de protection
 enlever la canule
 nettoyer / soigner la peau autour de la stomie
 nettoyer la canule
 remettre la canule et la fixer avec compresses et bandages";let. b ch. 4;1
Administrer les médicaments (i.v.);Thérapies sur prescription médicale;10604;B;20;"consulter le relevé de la prescription médicale
 au besoin, consulter le prospectus du médicament
 installer le client
 préparer l’injection dans les règles de l’art
 contrôler le flux et la perméabilité du système
 injecter le médicament par voie veineuse dans les règles de l’art
 observer les réactions du client";let. b ch. 7;1
Administrer les médicaments (s.c ou i.m);Thérapies sur prescription médicale;10603;B;10;"consulter le relevé de la prescription médicale
 au besoin, consulter le prospectus du médicament
 préparer l’injection dans les règles de l’art
 installer le client
 injecter le médicament dans les règles de l’art
 observer les réactions du client";let. b ch. 7;1
Aider à la prise du traitement per os / collyre (sur délégation);Thérapies sur prescription médicale;10999;C;6;"aider / accompagner / stimuler le client à prendre ses médicaments après
 vérification";let. c ch. 1;1
Aide pour bain médicinal ou cataplasme;Thérapies sur prescription médicale;10615;B;30;"consulter le relevé de l’ordonnance médicale
 chauffer le bain / cataplasme à température souhaitée
 installer le client ou appliquer le cataplasme
 surveiller le client pendant le temps d’application
 aider le client à se sécher et s’habiller";let. b ch. 12;1
Autres massages / frictions;Thérapies sur prescription médicale;10617;B;20;"dévêtir les parties du corps à masser
 appliquer la pommade et frictionner
 aider le client à se rhabiller";let. b ch. 7;1
Collyre;Thérapies sur prescription médicale;10618;B;10;"consulter le relevé de la prescription médicale
 appliquer le collyre selon la prescription";let. b ch. 7;1
Donner les médicaments;Thérapies sur prescription médicale;10602;B;6;"consulter le relevé de la prescription médicale
 donner les médicaments selon la prescription";let. b ch. 7;1
